"";"X";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_rami";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"Nb_FI";"groupe"
"1";1;"Acacia spirorbis";22;"L";29,1;1,5;68,8;9,33;0,67;9,33;54,67;54,67;656,47;58,33;58,33;1;13,33;3,07;74,53;59,64;574,04;0,59;11,12;11,88;226,52;163,18;19,37;313,55;7,76;10328,33;33,18;1,26;6;"1"
"2";2;"Acronychia laevis";41;"L";27,4;1,4;75;9,33;0,67;9,33;15,83;15,83;518,97;40;40;1;13,83;1,58;100,06;75,67;503,26;0,41;7,78;11,42;236,43;144,84;28,13;302,32;20,99;17628,53;18,24;0,91;6;"2"
"3";3;"Acropogon bullatus";19;"";29,1;1,5;68,8;4,42;3,75;6,25;25,33;27,17;464,12;15,83;17;0,67;1,67;10,76;150,36;132,84;401,5;0,99;18,41;6,56;177,51;150,3;9,8;363,52;174,54;8185,96;46,58;1,26;4;"3"
"4";4;"Agathis lanceolata";38;"";26,6;1,5;65,3;7,42;2,58;7,42;87,17;87,17;730,98;50,83;50,83;1;11,83;4,28;97,78;88,62;505,98;0,83;15,48;15,2;121,86;108,65;6,12;458,23;18,85;4454,11;111,92;1,21;6;"4"
"5";5;"Aleurites moluccana";51;"";29,5;5;59,9;9,08;0,92;9,08;19,5;19,5;674,53;39,17;39,17;1;0,67;9,98;208,86;196,61;329,36;0,55;12,32;28,66;218,84;158,44;19,31;316,34;132,15;11457,72;28,3;1,65;6;"2"
"6";6;"Alphitonia neocaledonica";3;"M";31,8;4,2;54,9;9;1;9;97,83;97,83;820,22;80;80;1;10,17;3,3;77,32;64,36;564,8;0,74;14,31;18,47;95,01;49,67;23,52;515,18;21,55;4805,84;117,84;2,12;6;"4"
"7";7;"Alstonia balansae";29;"";27,4;1,2;70,9;9,17;0,83;9,17;27,5;27,5;485,48;21,67;21,67;1;2,5;6,1;118,34;101,03;465,01;0,55;10,9;7,59;252,11;203,46;13,97;285,65;105,21;11204,81;26,52;1,06;6;"2"
"8";8;"Alstonia vieillardii";47;"N";24,1;2,4;64,2;8,83;1,17;8,83;23,5;23,5;607,2;32,5;32,5;1;2;8,77;102,86;90;495,55;0,48;9,83;11,24;269,58;199,02;19,49;274,53;180,63;11360,97;25,48;1,08;6;"2"
"9";9;"Araucaria columnaris";7;"";31,1;4,6;73,5;7;1,83;8,17;95,5;96,67;448,53;24,17;24,17;0,83;1;25,93;80,37;68,56;556,9;0,84;16,44;3,24;114,7;105,68;4,14;469,26;43,13;4464,61;133,65;1,2;5;"4"
"10";10;"Archidendropsis granulosa";28;"F";26,4;4;67,1;9,5;0,5;9,5;28;28;704,23;88,33;88,33;1;7,83;1,81;86,36;68,42;538,62;0,52;9,56;16,44;130,44;41,65;38,39;435,02;0,43;13711,39;32,52;1,13;6;"1"
"11";11;"Arillastrum gummiferum ";9;"M";28,32;3,5;77,32;8,75;1,25;8,75;33;33;750,67;42,5;42,5;1;8,33;5,99;78,22;66,56;561,32;0,91;12,55;8,55;126,36;88,6;16,84;445,86;57,61;5769,98;82,71;0,88;6;"1"
"12";12;"Barringtonia asiatica";17;"G";26,3;1,5;81,7;4,17;4,17;5,83;9,83;11,5;331,75;4,67;5,83;0,67;2;4,92;215,83;193,71;321,18;0,84;16,72;3,27;324,13;304,66;4,59;237,58;377,08;9536,19;25,59;0,63;4;"3"
"13";13;"Calophyllum caledonicum";39;"F";26,6;1,5;65,3;8,4;1,6;8,4;33;33;744,04;38;38;1;8,6;4,39;96,14;85,1;511,55;0,63;12,01;15,3;128,13;96,6;13,86;438,86;31,76;5560,48;80,28;1,21;5;"1"
"14";14;"Calophyllum inophyllum";13;"G";28,5;3,2;68,1;9,1;0,9;9,1;33,6;33,6;622,58;78;78;1;1,6;14,43;126,98;106,94;442,46;0,6;11,59;9,27;144,14;105,03;16,09;415,76;110,17;6810,62;63,82;1,24;5;"1"
"15";15;"Casuarina collina";8;"";29,6;3,8;71,9;9,5;0,5;9,5;38;38;702,62;94,17;94,17;1;23,33;4,52;70,81;51,11;586,74;0,5;8,97;11,55;110,58;29,53;38,31;478,88;4,52;12421,98;44,89;1,17;6;"1"
"16";16;"Cerbera manghas";20;"G";29,1;1,5;68,8;5,67;1,25;8,75;12,83;16;424,57;10;15;0,67;3,33;5,43;223,47;201,5;333,02;0,75;15,92;2,8;281,45;251,62;7,8;263,52;68,34;13831,25;19,61;1,26;4;"3"
"17";17;"Codia spatulata";5;"M";31,8;4,2;54,9;8,33;1,67;8,33;64,17;64,17;785,05;62,5;62,5;1;9,83;5,05;81,09;67,98;553,61;0,74;13,78;21,82;111,44;70,75;19,29;473,65;18,25;4727,77;101,36;2,12;6;"4"
"18";18;"Codiaeum peltatum";42;"L";27,4;1,4;75;8,7;1,3;8,7;14;14;636,68;20;20;1;5,4;1,95;89,51;73,33;528,97;0,52;9,83;4,41;208,95;183,09;8,43;325,39;21,82;12040,03;27,66;0,91;5;"2"
"19";19;"Cordia dichotoma";44;"L";25,7;1,2;76,8;9,17;0,83;9,17;20;20;571,2;30;30;0,83;1,17;1,55;209,58;162,79;325,96;0,39;7,65;60,81;258,84;35,85;61,81;280,92;44,98;13672,88;21,61;0,77;5;"2"
"20";20;"Crossostylis grandiflora";48;"F";29,5;5;59,9;8,92;1,08;8,92;20,17;20,17;656,78;42,5;42,5;1;3,83;9,36;156,55;140,71;389,96;0,6;11,48;35,92;219,21;166,39;16,82;315,96;73,55;8886,56;37;1,65;6;"2"
"21";21;"Diospyros fasciculosa";40;"L";27,4;1,4;75;9,33;0,67;9,33;20,33;20,33;709,98;33,33;33,33;1;7,5;2,21;86,77;73,44;536,18;0,48;9,1;10,66;103,67;58,12;22,36;492,48;35,83;9212,55;55,47;0,91;6;"2"
"22";22;"Elaeocarpus angustifolius";53;"";26,1;1;77,4;9,5;0,5;9,5;18,33;18,33;700,57;57,5;57,5;1;7,5;2,08;136,93;116,03;422,64;0,44;9,27;31,1;152,04;90,24;24,44;398,05;23,68;11276,37;36,26;0,76;6;"2"
"23";23;"Elattostachys apetala";26;"F";26,4;4;67,1;9,5;0,5;9,5;37;37;785,67;80;80;1;3,33;2,62;95,99;78,33;510,61;0,55;10,26;11,55;147,53;109,8;15,19;410,17;33,65;12700,76;33,49;1,13;6;"1"
"24";24;"Erythrina variegata var. fastigiata";54;"N";26,1;1,33;77,4;9,5;0,5;9,5;27,33;27,33;661,8;81,67;81,67;1;3,5;1,83;171,9;154,96;370,77;0,55;10,36;60,64;239,82;104,7;40,56;298,59;31,37;19111,65;16,38;0,76;6;"1"
"25";25;"Fagraea berteroana";31;"";27,4;1,2;70,9;4,67;0,83;9,17;6,33;10,83;322,93;2,5;4,5;0,5;2,33;13,9;141,65;128,46;416,54;0,66;12,81;27,5;376,91;327,05;10,47;210,16;95,25;8749,13;24,62;1,06;3;"3"
"26";26;"Ficus habrophyla";25;"F";26,4;4;67,1;8,92;1,08;8,92;24,5;24,5;685,33;48,33;48,33;1;0,83;7,17;192,74;176,03;342,03;0,86;16,54;21,47;181,89;120,59;22,31;359,99;401,3;9743,38;38,57;1,13;6;"2"
"27";27;"Gardenia urvillei";43;"L";27,4;1,4;75;9,33;0,67;9,33;41,5;41,5;661,12;54,17;54,17;1;8,5;2,74;62,79;50,48;615,59;0,61;10,35;10,17;156,9;93,16;25,49;391,85;13,42;11969,04;33,7;0,91;6;"1"
"28";28;"Geissois pruinosa";6;"M";31,8;4,2;54,9;8,33;1,67;8,33;75,17;75,17;789,67;69,17;69,17;1;3,33;9,46;94,71;82,19;513,81;0,76;14,33;22,92;158,28;102,34;22,05;391,94;35,44;5882,94;69,65;2,12;6;"4"
"29";29;"Geissois racemosa";49;"F";29,5;5;59,9;9,08;0,92;9,08;34,17;34,17;748;70;70;1;1;4,21;114,23;103,96;494,6;0,74;13,77;43,79;169,52;99,4;25,85;373,56;118,54;9843,28;39,29;1,65;6;"1"
"30";30;"Glochidion billardierei";50;"";29,5;5;59,9;9,17;0,83;9,17;25,83;25,83;736,95;79,17;79,17;1;10;2,71;133,25;122,91;431,26;0,58;11,87;97,76;135,07;33,71;42,63;429,1;18,73;8681,63;51,94;1,65;6;"1"
"31";31;"Grevillea rubiginosa";4;"M";31,8;4,2;54,9;8,33;1,67;8,33;68,67;68,67;750,45;55,83;55,83;1;11,83;2,94;75,33;63,42;571,11;0,75;13,48;76,2;100,88;17,66;41,24;500,52;15,56;4484,81;113,39;2,12;6;"4"
"32";32;"Guioa villosa";32;"M";27,4;1,2;70,9;9,25;0,75;9,25;36;36;759;84,17;84,17;1;6,5;4,2;71,57;56,55;583,41;0,44;8,05;23,35;103,97;60,7;21,25;492,52;3,52;6772,88;75,77;1,06;6;"1"
"33";33;"Hernandia cordigera";30;"";27,4;1,2;70,9;9;1;9;17,8;17,8;671,2;15;15;1;2,8;7,84;237,41;215,51;296,8;0,83;18,18;9,49;208,93;175,19;11,06;325,88;85,35;7194,12;46,88;1,06;5;"2"
"34";34;"Hibbertia lucens";10;"M";28,32;2,25;77,32;9,08;0,92;9,08;43;43;796,5;60,83;60,83;1;9,5;4,72;96,72;77,7;508,9;1,02;11,97;54,32;200,94;75,89;42,28;337,08;8,8;7140,32;48,77;0,88;6;"1"
"35";35;"Hibiscus tiliaceus G";35;"N";28,3;2,33;75,1;9,17;0,83;9,17;28,83;28,83;740,17;81,67;81,67;1;0,67;6,3;203,12;186,36;339,44;0,64;13,34;21,53;214,9;117,47;31,57;321,99;601,91;15059;22,73;0,96;6;"1"
"36";36;"Hibiscus tiliaceus P";33;"G";28,3;2,17;75,1;8,92;1,08;8,92;36,83;36,83;727,72;63,33;63,33;1;3;5,04;169,84;149,64;381,11;0,61;12,56;13,32;213,64;132,51;25,8;327,33;172,44;15602,69;22,71;0,96;6;"1"
"37";37;"Hibiscus tiliaceus R";34;"G";27,43;1,9;75,67;9,33;0,67;9,33;28,33;28,33;720,57;64,17;64,17;1;2,33;5,53;194,73;173,56;354,34;0,52;12,19;14,91;201,66;118,51;27,34;333,94;168,58;14767;23,41;0,9;6;"1"
"38";38;"Hibiscus tiliaceus V";16;"";28,5;3,2;68,1;9;1;9;42,33;42,33;719,02;75,83;75,83;1;5,17;4,49;150,34;133,44;401,54;0,62;12,61;16,77;193,64;101,04;31,84;343,89;152,2;12588,61;28,46;1,24;6;"1"
"39";39;"Lepidocupania arcuata";45;"L";25,7;1,2;76,8;8,67;1,33;8,67;29,17;29,17;776,28;56,67;56,67;1;8;2,18;71,54;59,47;585,69;0,57;9,78;28,58;92,47;22,02;36,58;519,91;20,82;7356,09;71,46;0,77;6;"1"
"40";40;"Leucaena leucocephala";18;"I";26,3;1,5;81,7;9,5;0,5;9,5;27;27;655,27;76,67;76,67;1;16,33;2,67;117,83;98,35;465,02;0,51;11,75;77,67;284,62;24,06;66,45;277,47;0,26;24114,61;12,34;0,63;6;"1"
"41";41;"Mangifera indica";1;"I";30,2;5,7;75,1;8,83;1,17;8,83;19,33;19,33;758,95;57,5;57,5;1;7;NA;155,04;128,28;403,6;0,4;7,02;7,93;152,52;119,4;13,29;404,54;56,68;10427,62;41,74;1,07;6;"2"
"42";42;"Melaleuca quinquenervia";23;"";28,1;3;70,3;9,25;0,75;9,25;63,17;63,17;780,03;68,33;68,33;1;10,33;3,27;125,17;100,82;446,79;0,64;12,88;26,82;120,4;64,96;25,1;455,23;10,01;4900,4;94,91;1,13;6;"4"
"43";43;"Metrosideros laurifolia";11;"M";28,32;2,67;77,32;7,83;2,17;7,83;56,5;56,5;681,17;26,67;26,67;1;7,17;6,67;78,63;66,55;561,32;1,06;15,79;20,82;137,43;106,02;13,34;422,94;54,02;3766,4;114,91;0,88;6;"4"
"44";44;"Myodocarpus fraxinifolius";37;"F";26,6;1,5;65,3;9,42;0,58;9,42;68;68;782,48;91,67;91,67;1;0,5;8,08;103,27;90,48;496,1;0,76;15,36;17,39;140,79;91,28;20,68;417,65;21,3;8031,59;53,51;1,21;6;"4"
"45";45;"Neuburgia novocaledonica";27;"F";26,4;4;67,1;4,75;0,5;9,5;6,33;11,33;249,1;16,67;32,5;0,33;2,5;6,18;193,87;165,12;350,04;0,58;12,36;33,76;397,04;257,32;28,3;203,35;147,76;15496,63;13,54;1,13;2;"3"
"46";46;"Pinus caribea";24;"I";28,1;3;70,3;9,5;0,5;9,5;103,33;103,33;902;77,5;77,5;1;4,5;8;86,4;78,19;537,57;0,71;15,29;9,66;129,41;111,12;8,01;437,77;4,91;7626,93;58,06;1,13;6;"4"
"47";47;"Santalum austrocaledonicum";14;"";28,5;3,2;68,1;9;1;9;28,5;28,5;603,6;35;35;1;11,33;3,13;88,43;66,19;532,03;0,53;9,71;25,5;234,06;149,62;25,36;302,79;8,4;10106,48;30,89;1,24;6;"2"
"48";48;"Scaevola montana";46;"";24,1;2,4;64,2;7,92;0,58;9,42;16,33;17,83;547,03;29,17;30,83;0,83;14,5;1,73;111,39;87,88;475,12;0,56;10,37;16,72;391,37;197,21;40,38;206,3;12,63;19918,39;10,78;1,08;5;"2"
"49";49;"Scaevola taccada";21;"G";29,1;1,5;68,8;0,83;9,17;0,83;0,83;0,83;150;0,17;0,17;0;4;11,41;243,76;219,39;292,8;0,65;13,25;14,51;775,09;673,62;11,8;116,6;48,76;17147,24;7,05;1,26;0;"5"
"50";50;"Syzygium cumini";15;"I";28,5;3,2;68,1;9,33;0,67;9,33;25,83;25,83;725,15;63,33;63,33;1;4,5;3,28;114,88;86,21;466,25;0,43;7,87;14,99;181,16;146,44;12,27;359,86;70,89;10230,6;37,25;1,24;6;"1"
"51";51;"Tabernaemontana cerifera";36;"F";26,6;1,5;65,3;8,5;1,5;8,5;20;20;449,35;11,67;11,67;1;3;6,63;183,78;168,78;353,79;0,76;15,55;56,86;318,72;232,23;20,98;241,77;99,83;7270,54;34,8;1,21;6;"3"
"52";52;"Terminalia catappa";2;"I";31,7;2,5;66;8,9;1,1;8,9;19,2;19,2;630,4;28;28;1;2,2;NA;168,34;141,9;420,41;0,47;8,76;24,43;230,98;163,29;20,69;304,74;264,97;12764,71;24,57;1,59;5;"2"
"53";53;"Trema cannabina";52;"N";29,5;5;59,9;9,5;0,5;9,5;22;22;623,08;53,33;53,33;1;9,33;0,85;184,68;147,3;353,91;0,31;7,99;67,58;232,92;56,74;52,43;304,63;35,12;22892,86;13,71;1,65;6;"2"
"54";54;"Tristaniopsis glauca";12;"M";28,32;2,75;77,32;9;1;9;64,83;64,83;775,83;86,17;86,17;1;8,17;3,67;54,47;42,95;648,21;0,86;11,39;20,07;91,68;50,2;21,87;522,46;15,84;3692,81;143,24;0,88;6;"4"
